"tm_ky","mal_id","demo_id"
1,6,27
1,8,27
1,15,27
1,16,43
1,17,27
1,18,42
1,20,27
1,21,27
1,22,27
1,23,27
1,24,27
1,25,27
1,28,27
1,29,42
1,45,27
1,50,42
1,52,27
1,53,42
1,56,27
1,57,27
1,59,42
1,60,27
1,61,25
1,64,42
1,65,42
1,68,27
1,74,25
1,100,25
1,102,25
1,103,25
1,104,25
1,105,27
1,106,25
1,107,27
1,110,27
1,114,27
1,120,25
1,121,27
1,122,25
1,123,25
1,127,27
1,129,27
1,130,43
1,131,43
1,132,27
1,135,27
1,136,27
1,142,25
1,143,27
1,145,25
1,149,43
1,154,27
1,157,27
1,158,25
1,159,27
1,161,27
1,162,27
1,163,27
1,167,27
1,170,27
1,173,27
1,174,27
1,175,27
1,177,27
1,178,25
1,180,27
1,181,27
1,183,27
1,184,27
1,185,42
1,186,42
1,189,27
1,200,27
1,205,27
1,218,27
1,223,27
1,225,27
1,230,42
1,231,42
1,232,25
1,233,25
1,234,27
1,235,27
1,236,27
1,238,27
1,242,43
1,243,25
1,245,27
1,246,27
1,247,25
1,248,27
1,249,27
1,250,27
1,251,25
1,252,27
1,263,27
1,266,27
1,267,42
1,269,27
1,270,42
1,271,27
1,273,27
1,278,27
1,280,25
1,282,42
1,284,27
1,286,27
1,287,27
1,288,15
1,292,27
1,296,27
1,297,27
1,298,27
1,301,42
1,307,15
1,308,27
1,311,25
1,322,43
1,325,25
1,326,43
1,327,25
1,328,25
1,329,42
1,331,27
1,332,27
1,334,25
1,335,27
1,336,25
1,338,25
1,340,27
1,341,27
1,343,42
1,345,42
1,351,25
1,352,25
1,353,25
1,364,42
1,370,27
1,375,42
1,379,27
1,386,27
1,388,27
1,390,27
1,392,27
1,394,42
1,406,27
1,407,27
1,411,27
1,419,27
1,421,27
1,427,25
1,435,25
1,440,25
1,444,25
1,446,27
1,447,27
1,457,42
1,467,42
1,469,27
1,473,27
1,477,27
1,479,27
1,481,27
1,482,27
1,495,27
1,501,15
1,501,27
1,505,25
1,506,25
1,508,15
1,516,27
1,518,25
1,519,27
1,521,25
1,527,15
1,530,25
1,532,25
1,538,27
1,550,27
1,551,27
1,552,15
1,553,25
1,558,27
1,561,27
1,568,27
1,573,27
1,576,27
1,582,27
1,589,27
1,590,27
1,598,27
1,603,25
1,604,25
1,613,27
1,616,25
1,626,27
1,627,27
1,633,25
1,634,42
1,635,27
1,636,27
1,646,27
1,658,42
1,678,27
1,687,25
1,690,25
1,693,27
1,696,27
1,710,42
1,714,27
1,727,15
1,727,25
1,729,25
1,738,27
1,740,25
1,744,27
1,749,15
1,754,25
1,764,27
1,771,25
1,776,27
1,783,27
1,795,25
1,798,42
1,801,42
1,810,42
1,813,27
1,833,27
1,838,42
1,845,27
1,846,27
1,852,25
1,853,25
1,859,27
1,874,27
1,876,27
1,880,42
1,889,42
1,890,27
1,907,25
1,912,27
1,915,27
1,916,42
1,918,27
1,924,27
1,925,27
1,926,27
1,928,27
1,940,27
1,944,42
1,951,25
1,953,25
1,956,27
1,961,27
1,962,27
1,966,42
1,967,27
1,968,27
1,969,27
1,971,15
1,971,27
1,980,15
1,992,27
1,996,25
1,1000,42
1,1005,27
1,1013,42
1,1018,27
1,1021,25
1,1022,27
1,1035,25
1,1040,25
1,1045,27
1,1050,27
1,1065,27
1,1068,27
1,1069,27
1,1086,27
1,1087,27
1,1093,42
1,1098,27
1,1108,27
1,1110,25
1,1123,27
1,1132,27
1,1133,27
1,1137,27
1,1138,27
1,1139,15
1,1142,43
1,1145,27
1,1157,27
1,1161,27
1,1164,27
1,1167,42
1,1172,27
1,1175,27
1,1179,27
1,1184,27
1,1186,27
1,1194,27
1,1199,15
1,1212,27
1,1214,42
1,1221,25
1,1222,25
1,1224,27
1,1236,27
1,1239,25
1,1246,42
1,1247,27
1,1250,27
1,1254,27
1,1261,27
1,1264,27
1,1300,27
1,1313,15
1,1314,27
1,1327,27
1,1333,15
1,1337,27
1,1372,42
1,1374,27
1,1375,25
1,1391,27
1,1397,27
1,1409,27
1,1410,27
1,1412,42
1,1425,42
1,1445,27
1,1448,27
1,1458,27
1,1459,27
1,1465,42
1,1470,27
1,1471,27
1,1472,27
1,1473,27
1,1482,27
1,1483,42
1,1485,25
1,1486,25
1,1498,27
1,1502,42
1,1509,25
1,1516,25
1,1519,42
1,1532,25
1,1533,25
1,1534,25
1,1535,27
1,1536,27
1,1537,27
1,1550,25
1,1557,25
1,1559,27
1,1562,25
1,1563,25
1,1564,15
1,1565,15
1,1567,25
1,1568,42
1,1571,25
1,1572,15
1,1572,27
1,1573,27
1,1574,27
1,1578,25
1,1579,25
1,1583,42
1,1589,42
1,1592,42
1,1599,27
1,1604,27
1,1606,27
1,1614,27
1,1617,43
1,1628,27
1,1642,25
1,1656,15
1,1664,27
1,1666,27
1,1667,27
1,1668,27
1,1669,27
1,1672,27
1,1673,27
1,1674,27
1,1675,27
1,1678,27
1,1685,15
1,1690,42
1,1695,25
1,1698,43
1,1704,27
1,1705,27
1,1706,42
1,1707,27
1,1710,27
1,1712,27
1,1713,27
1,1721,42
1,1722,27
1,1728,25
1,1735,27
1,1737,27
1,1738,27
1,1740,42
1,1744,15
1,1744,25
1,1746,27
1,1771,27
1,1792,27
1,1808,25
1,1810,27
1,1816,15
1,1816,27
1,1826,15
1,1835,27
1,1836,42
1,1837,27
1,1839,15
1,1839,25
1,1842,27
1,1844,25
1,1852,42
1,1853,25
1,1864,25
1,1872,15
1,1872,27
1,1873,27
1,1878,25
1,1886,25
1,1891,27
1,1892,27
1,1893,25
1,1899,27
1,1929,25
1,1932,25
1,1936,27
1,1946,25
1,1960,15
1,1974,25
1,1985,27
1,1986,27
1,2004,42
1,2011,27
1,2012,27
1,2014,27
1,2026,27
1,2034,25
1,2035,42
1,2037,25
1,2038,25
1,2040,25
1,2041,25
1,2044,25
1,2075,43
1,2076,27
1,2084,27
1,2087,27
1,2104,27
1,2108,27
1,2109,27
1,2110,27
1,2112,27
1,2113,27
1,2116,27
1,2127,27
1,2128,27
1,2130,27
1,2150,15
1,2151,15
1,2158,27
1,2159,42
1,2162,27
1,2200,27
1,2204,27
1,2221,25
1,2222,27
1,2224,25
1,2226,15
1,2227,25
1,2228,15
1,2229,27
1,2230,25
1,2231,27
1,2233,15
1,2234,15
1,2234,27
1,2246,42
1,2253,27
1,2254,27
1,2257,27
1,2259,25
1,2281,27
1,2283,27
1,2284,27
1,2285,15
1,2285,27
1,2287,27
1,2288,25
1,2335,27
1,2337,27
1,2363,15
1,2389,27
1,2402,27
1,2404,27
1,2405,25
1,2415,15
1,2471,15
1,2471,27
1,2486,27
1,2503,27
1,2542,25
1,2547,25
1,2549,25
1,2552,42
1,2561,27
1,2565,27
1,2566,15
1,2567,15
1,2570,15
1,2570,25
1,2571,15
1,2572,15
1,2575,15
1,2578,15
1,2579,15
1,2598,27
1,2602,27
1,2605,27
1,2608,42
1,2612,15
1,2684,27
1,2686,27
1,2702,15
1,2703,27
1,2705,15
1,2706,15
1,2707,15
1,2709,15
1,2713,27
1,2716,27
1,2718,27
1,2719,15
1,2727,25
1,2740,27
1,2741,27
1,2744,42
1,2747,27
1,2748,27
1,2758,27
1,2762,25
1,2771,25
1,2772,27
1,2783,25
1,2786,27
1,2789,15
1,2799,25
1,2800,25
1,2803,27
1,2804,25
1,2805,15
1,2809,15
