"tm_ky","mal_id","recommendation_id","num_recommendations"
5,5114,11061,102
5,5114,16498,38
5,5114,1482,23
5,5114,9919,17
5,5114,1575,15
5,5114,2251,15
5,5114,38000,13
5,5114,22199,10
5,5114,23755,9
5,5114,1735,9
5,28977,9863,3
5,28977,30276,2
5,28977,37105,2
5,28977,6347,2
5,28977,33255,2
5,28977,32937,1
5,28977,31339,1
5,28977,36548,1
5,28977,20507,1
5,28977,31933,1
5,9253,31240,123
5,9253,31043,123
5,9253,9756,43
5,9253,10620,27
5,9253,2236,24
5,9253,1210,19
5,9253,1535,16
5,9253,1889,15
5,9253,44074,14
5,9253,934,14
5,38524,37521,2
5,38524,28623,2
5,38524,35557,1
5,38524,31240,1
5,38524,2904,1
5,38524,40682,1
5,38524,26243,1
5,38524,32935,1
5,48583,1575,2
5,48583,5114,2
5,48583,2001,1
5,48583,37521,1
5,48583,24833,1
5,48583,1535,1
5,48583,820,1
5,48583,26243,1
5,48583,28623,1
5,48583,41457,1
5,9969,9863,4
5,9969,11843,3
5,9969,15809,2
5,9969,16211,1
5,9969,7647,1
5,9969,42670,1
5,9969,9513,1
5,9969,249,1
5,9969,30831,1
5,9969,24,1
5,11061,5114,102
5,11061,21,64
5,11061,392,53
5,11061,20,39
5,11061,34599,27
5,11061,31964,26
5,11061,40221,26
5,11061,14719,25
5,11061,14513,20
5,11061,20899,14
5,42938,4181,6
5,42938,33352,2
5,42938,45577,2
5,42938,9656,1
5,42938,16067,1
5,42938,33899,1
5,42938,23273,1
5,42938,30123,1
5,42938,31646,1
5,42938,20507,1
5,15417,14765,2
5,15417,11843,1
5,15417,9863,1
5,15417,114,1
5,15417,42670,1
5,15417,4181,1
5,34096,9863,2
5,34096,42670,1
5,34096,38161,1
5,34096,37105,1
5,34096,205,1
5,34096,132,1
5,34096,1,1
5,35180,4181,3
5,35180,23273,3
5,35180,23847,1
5,35180,45577,1
5,35180,16,1
5,35180,795,1
5,35180,32828,1
5,35180,22789,1
5,35180,28851,1
5,35180,4081,1
5,918,9863,60
5,918,11843,51
5,918,33255,38
5,918,21,23
5,918,9513,20
5,918,30276,15
5,918,245,15
5,918,45,15
5,918,2026,14
5,918,13535,13
5,4181,23273,39
5,4181,9989,33
5,4181,6547,29
5,4181,3731,16
5,4181,1530,15
5,4181,18195,14
5,4181,10162,12
5,4181,1689,9
5,4181,2926,7
5,4181,12355,7
5,2904,1535,48
5,2904,10793,8
5,2904,16498,3
5,2904,1,3
5,2904,40028,3
5,2904,9253,3
5,2904,2581,3
5,2904,28999,2
5,2904,156,2
5,2904,2001,2
5,47778,40748,2
5,47778,14719,1
5,47778,8475,1
5,40028,32615,8
5,40028,820,4
5,40028,41457,4
5,40028,1575,3
5,40028,37521,3
5,40028,2904,3
5,40028,5114,2
5,40028,28623,2
5,40028,38000,2
5,40028,22535,2
5,19,1535,100
5,19,13601,15
5,19,239,14
5,19,23283,12
5,19,820,10
5,19,33,10
5,19,6114,7
5,19,37525,6
5,19,3002,6
5,19,5114,6
5,36838,5114,1
5,37510,33255,6
5,37510,30276,6
5,37510,34612,2
5,37510,24439,2
5,37510,36593,1
5,37510,9513,1
5,37510,42625,1
5,37510,30,1
5,37510,16241,1
5,37510,34134,1
5,32935,32995,1
5,32935,30230,1
5,32935,45577,1
5,32935,24415,1
5,32935,18689,1
5,32935,16894,1
5,32935,38524,1
5,40834,3701,4
5,40834,32182,4
5,40834,5420,2
5,40834,40397,2
5,40834,1028,1
5,40834,41025,1
5,40834,302,1
5,40834,37520,1
5,40834,34599,1
5,40834,37521,1
5,17074,6594,4
5,17074,2236,2
5,17074,30,1
5,17074,18897,1
5,17074,31043,1
5,17074,37450,1
5,17074,20507,1
5,17074,9253,1
5,17074,31240,1
5,17074,2251,1
5,40682,37521,1
5,40682,12113,1
5,40682,38524,1
5,40682,40028,1
5,40682,18115,1
5,40682,31764,1
5,1,205,111
5,1,6,80
5,1,889,63
5,1,400,47
5,1,20057,33
5,1,2251,31
5,1,4087,18
5,1,2025,16
5,1,13601,13
5,1,918,13
5,45576,48414,1
5,45576,39468,1
5,45576,13125,1
5,45576,39575,1
5,45576,35073,1
5,45576,30015,1
5,45576,37430,1
5,46102,6746,13
5,46102,39195,10
5,46102,2251,9
5,46102,36904,3
5,46102,44074,2
5,46102,33337,2
5,46102,40052,2
5,46102,39590,2
5,46102,5081,2
5,46102,40935,2
5,33095,39582,1
5,33095,10800,1
5,33095,4081,1
5,33095,23273,1
5,33095,457,1
5,33095,31646,1
5,33095,30,1
5,33095,12531,1
5,24701,2890,1
5,24701,4081,1
5,24701,22789,1
5,263,1559,25
5,263,36563,10
5,263,15,10
5,263,21185,10
5,263,34636,9
5,263,2402,8
5,263,20583,7
5,263,18179,7
5,263,245,7
5,263,185,6
5,37521,16498,20
5,37521,33,12
5,37521,37520,11
5,37521,32998,7
5,37521,28249,6
5,37521,39535,5
5,37521,2199,5
5,37521,36028,4
5,37521,12031,4
5,37521,32615,3
5,2921,263,2
5,2921,2001,1
5,2921,22135,1
5,2921,1,1
5,21939,4081,2
5,21939,7588,2
5,21939,13599,1
5,21939,2246,1
5,21939,23987,1
5,48569,93,1
5,48569,16498,1
5,48569,8888,1
5,1575,1535,607
5,1575,10793,48
5,1575,22729,35
5,1575,19815,28
5,1575,2581,27
5,1575,16668,23
5,1575,820,21
5,1575,2001,18
5,1575,30,17
5,1575,2025,15
5,40748,38000,66
5,40748,269,26
5,40748,20,19
5,40748,20507,14
5,40748,11061,14
5,40748,9919,11
5,40748,1735,10
5,40748,31964,10
5,40748,22535,9
5,40748,41353,7
5,245,268,50
5,245,24833,36
5,245,918,15
5,245,242,13
5,245,29589,8
5,245,263,7
5,245,24,7
5,245,170,7
5,245,32542,7
5,245,9513,6
5,34599,37779,41
5,34599,35838,34
5,34599,11061,27
5,34599,9756,27
5,34599,13125,24
5,34599,35839,11
5,34599,3701,7
5,34599,35557,7
5,34599,16498,7
5,34599,40221,6
5,457,4081,76
5,457,486,62
5,457,2246,43
5,457,164,15
5,457,861,15
5,457,477,11
5,457,37520,11
5,457,1589,11
5,457,387,9
5,457,5081,9
5,23273,36098,56
5,23273,31646,56
