"tm_ky","mal_id","studio_id"
1,1,14
1,6,11
1,7,14
1,8,18
1,15,36
1,16,7
1,17,22
1,18,179
1,20,1
1,21,18
1,22,80
1,23,18
1,24,126
1,25,3
1,27,3
1,28,14
1,29,37
1,30,6
1,30,103
1,45,36
1,45,37
1,48,5
1,50,48
1,52,4
1,53,7
1,55,5
1,56,5
1,57,11
1,59,11
1,60,3
1,61,27
1,62,91
1,62,218
1,64,70
1,65,70
1,66,7
1,67,3
1,68,3
1,69,14
1,71,3
1,72,2
1,73,2
1,74,86
1,75,27
1,76,35
1,77,35
1,80,14
1,85,14
1,86,14
1,89,14
1,90,14
1,92,14
1,93,14
1,94,14
1,95,14
1,95,1260
1,96,14
1,97,3
1,98,14
1,99,14
1,100,34
1,101,2
1,102,73
1,103,36
1,104,1
1,105,34
1,106,18
1,107,37
1,109,3
1,110,22
1,111,22
1,112,75
1,112,1383
1,113,27
1,114,10
1,115,48
1,116,48
1,119,218
1,120,37
1,121,4
1,122,37
1,123,1
1,125,94
1,126,43
1,126,91
1,126,93
1,127,3
1,129,1
1,130,1
1,131,1
1,132,37
1,134,11
1,135,1
1,136,22
1,141,91
1,142,18
1,143,120
1,144,18
1,145,6
1,145,7
1,148,37
1,149,7
1,150,10
1,152,3
1,152,48
1,153,1
1,154,27
1,157,27
1,158,37
1,159,6
1,159,7
1,160,48
1,161,3
1,162,11
1,163,1
1,165,4
1,166,3
1,167,4
1,168,14
1,169,7
1,170,18
1,171,34
1,173,37
1,174,11
1,175,1
1,177,5
1,178,196
1,180,3
1,181,3
1,182,14
1,183,126
1,184,18
1,185,36
1,185,126
1,186,413
1,189,27
1,195,39
1,196,39
1,200,73
1,202,4
1,204,37
1,205,32
1,206,48
1,209,7
1,218,27
1,223,18
1,225,18
1,228,37
1,229,43
1,230,18
1,231,462
1,231,721
1,232,11
1,233,7
1,234,122
1,235,73
1,236,1
1,237,4
1,238,1
1,239,3
1,240,455
1,242,11
1,243,37
1,244,28
1,245,1
1,246,37
1,247,96
1,248,11
1,249,14
1,250,18
1,251,37
1,252,5
1,253,247
1,260,101
1,261,101
1,263,11
1,266,7
1,267,11
1,269,1
1,270,3
1,271,3
1,272,5
1,273,7
1,278,86
1,279,73
1,280,36
1,282,73
1,283,22
1,284,86
1,285,14
1,286,73
1,287,86
1,288,11
1,289,28
1,290,14
1,291,91
1,292,179
1,293,11
1,295,81
1,296,11
1,297,86
1,298,5
1,301,207
1,302,22
1,303,28
1,307,103
1,308,30
1,309,81
1,310,1
1,311,11
1,311,65
1,318,120
1,318,196
1,322,11
1,324,14
1,325,126
1,326,11
1,327,6
1,327,48
1,328,28
1,329,14
1,331,22
1,332,22
1,333,14
1,334,18
1,335,37
1,336,5
1,337,154
1,338,65
1,339,110
1,340,126
1,341,7
1,342,7
1,343,44
1,344,86
1,345,1
1,346,63
1,346,78
1,347,5
1,348,27
1,349,88
1,350,18
1,351,18
1,352,18
1,353,18
1,355,7
1,356,37
1,360,86
1,364,73
1,364,122
1,364,442
1,370,207
1,375,196
1,379,7
1,383,11
1,385,86
1,385,1037
1,386,196
1,387,81
1,388,126
1,390,126
1,392,1
1,394,7
1,396,14
1,397,14
1,406,73
1,407,1
1,411,88
1,417,131
1,419,37
1,421,24
1,424,14
1,427,3
1,435,65
1,440,7
1,444,37
1,445,10
1,445,27
1,446,43
1,447,107
1,447,207
1,455,22
1,456,7
1,457,8
1,467,10
1,469,7
1,470,11
1,471,28
1,472,28
1,473,94
1,476,890
1,477,34
1,478,41
1,478,196
1,479,37
1,481,36
1,482,36
1,483,4
1,485,207
1,486,179
1,488,39
1,489,112
1,490,44
1,495,27
1,505,34
1,506,191
1,508,73
1,509,120
1,511,63
1,516,14
1,518,196
1,519,7
1,521,60
1,521,118
1,525,10
1,527,28
1,529,3
1,530,18
1,532,18
1,533,7
1,534,154
1,535,154
1,538,48
1,545,120
1,546,81
1,550,18
1,551,86
1,552,18
1,553,7
1,558,101
1,561,11
1,563,11
1,563,37
1,567,14
1,568,48
1,569,103
1,573,280
1,576,122
1,577,63
1,577,78
1,579,48
1,580,1
1,582,207
1,584,41
1,586,18
1,587,86
1,589,18
1,590,86
1,592,73
1,593,14
1,598,81
1,600,81
1,600,1363
1,603,18
1,604,1
1,605,1
1,606,11
1,607,11
1,612,2257
1,613,14
1,614,7
1,616,36
1,618,11
1,620,73
1,623,179
1,626,18
1,627,101
1,630,11
1,630,196
1,633,50
1,634,179
1,635,11
1,636,11
1,646,37
1,652,11
1,653,11
1,655,11
1,655,91
1,658,11
1,667,101
1,670,63
1,670,78
1,677,14
1,678,37
1,682,122
1,684,122
1,685,28
1,685,88
1,687,1
1,688,34
1,690,48
1,691,11
1,693,83
1,694,218
1,696,48
1,706,81
1,706,462
1,708,94
1,709,11
1,709,94
1,710,44
1,712,474
1,714,36
1,714,126
1,721,34
1,727,18
1,729,86
1,738,118
1,740,18
1,744,48
1,750,37
1,751,37
1,754,73
1,763,27
1,764,27
1,771,5
1,776,7
1,782,14
1,783,86
1,786,1662
1,789,86
1,789,176
1,790,32
1,795,200
1,798,7
1,799,37
1,800,110
1,801,10
1,810,86
1,810,386
1,812,41
1,813,18
1,817,60
1,831,7
1,833,3
1,835,218
1,836,218
1,838,175
1,840,1383
1,845,11
1,846,126
1,849,2
1,850,122
1,852,18
1,853,4
1,854,78
1,855,11
1,855,75
1,856,28
1,858,112
1,859,18
1,860,28
1,861,10
1,863,38
1,865,14
1,872,13
1,873,5
1,874,18
1,876,101
1,876,196
1,878,14
1,879,37
1,880,48
1,888,27
1,889,11
1,890,14
1,907,37
1,909,41
1,910,38
1,912,1
1,913,73
1,915,37
1,916,83
1,916,86
1,918,14
1,919,28
1,924,18
1,925,18
1,926,18
1,927,60
1,928,3
1,929,14
1,930,14
1,934,37
1,935,3
1,940,35
1,942,34
1,943,11
1,944,27
1,951,22
1,952,11
1,952,120
1,953,4
1,956,18
1,957,11
1,958,41
1,959,22
1,960,22
1,961,65
1,962,34
1,965,101
1,966,247
1,967,18
1,968,73
1,969,5
1,970,311
1,970,1549
1,971,200
1,973,3
1,973,41
1,980,27
1,988,86
1,988,131
1,990,18
1,992,48
1,996,18
1,998,10
1,998,196
1,1000,18
1,1005,37
1,1013,10
1,1017,7
1,1018,7
1,1019,11
1,1021,101
1,1022,103
1,1035,207
1,1037,122
1,1040,22
1,1045,86
1,1045,1313
1,1046,86
1,1048,103
1,1050,18
1,1065,36
1,1065,86
1,1065,280
1,1067,433
1,1068,14
1,1068,18
1,1069,14
1,1069,18
1,1070,81
1,1082,7
1,1083,179
1,1086,4
1,1087,1
1,1088,103
1,1093,247
1,1098,3
1,1108,37
1,1110,60
1,1110,118
1,1123,18
1,1126,28
1,1132,18
1,1133,48
1,1136,14
1,1137,18
1,1138,5
1,1139,86
1,1142,7
1,1145,1
1,1156,3
1,1157,3
1,1161,7
1,1163,1
1,1164,7
1,1167,409
1,1172,154
1,1175,7
1,1179,11
1,1180,1
1,1184,154
1,1186,48
1,1188,37
1,1189,37
1,1193,101
1,1194,43
1,1195,7
1,1196,8
1,1198,63
1,1198,101
1,1199,30
1,1200,420
1,1212,34
1,1214,18
1,1218,39
1,1221,18
1,1222,8
1,1224,11
1,1226,14
1,1230,112
1,1231,34
1,1236,18
1,1239,18
1,1243,322
1,1246,8
1,1247,179
1,1249,14
1,1250,27
1,1251,6
1,1254,18
1,1261,103
1,1264,14
1,1279,1
1,1281,1
1,1293,1
1,1293,37
1,1300,77
1,1312,27
1,1313,18
1,1314,14
1,1316,80
1,1325,37
1,1327,18
1,1333,22
1,1337,18
1,1349,107
1,1356,18
1,1371,200
1,1372,37
1,1374,28
1,1375,22
1,1377,1191
1,1391,14
1,1397,196
1,1409,5
1,1409,10
1,1410,10
1,1412,65
1,1425,65
1,1445,103
1,1448,18
1,1450,14
1,1456,120
1,1458,103
1,1459,103
1,1465,37
1,1466,280
1,1466,583
1,1469,73
