"tm_ky","studio_id","studio_de"
1,1,"Studio Pierrot"
1,2,"Kyoto Animation"
1,3,"Gonzo"
1,4,"Bones"
1,5,"Bee Train"
1,6,"Gainax"
1,7,"J.C.Staff"
1,8,"Artland"
1,10,"Production I.G"
1,11,"Madhouse"
1,13,"Studio 4°C"
1,14,"Sunrise"
1,18,"Toei Animation"
1,21,"Studio Ghibli"
1,22,"Nippon Animation"
1,24,"Studio Fantasia"
1,27,"Xebec"
1,28,"OLM"
1,30,"Ajia-Do"
1,32,"Manglobe"
1,34,"Hal Film Maker"
1,35,"Seven Arcs"
1,36,"Gallop"
1,37,"Studio Deen"
1,38,"Arms"
1,39,"Daume"
1,41,"Satelight"
1,43,"ufotable"
1,44,"Shaft"
1,48,"AIC"
1,49,"Remic"
1,50,"KSS"
1,51,"Diomedéa"
1,56,"A-1 Pictures"
1,59,"Beat Frog"
1,60,"Actas"
1,63,"Trinet Entertainment"
1,64,"Sotsu"
1,65,"Tokyo Movie Shinsha"
1,68,"Mushi Production"
1,70,"Nomad"
1,72,"Artmic"
1,73,"TMS Entertainment"
1,75,"Imagin"
1,77,"APPP"
1,78,"Picture Magic"
1,79,"Genco"
1,80,"Trans Arts"
1,81,"Radix"
1,83,"AIC Spirits"
1,86,"Group TAC"
1,88,"AIC ASTA"
1,89,"BeSTACK"
1,91,"feel."
1,93,"Studio Flag"
1,94,"Telecom Animation Film"
1,95,"Doga Kobo"
1,96,"Yumeta Company"
1,101,"Studio Hibari"
1,103,"Tatsunoko Production"
1,107,"Plum"
1,110,"Triangle Staff"
1,111,"NHK"
1,112,"Brain's Base"
1,118,"SynergySP"
1,120,"TNK"
1,122,"Tokyo Kids"
1,126,"Studio Comet"
1,131,"G&G Entertainment"
1,132,"P.A. Works"
1,136,"Vega Entertainment"
1,139,"Nihon Ad Systems"
1,150,"Sanrio"
1,154,"E&G Films"
1,163,"asread."
1,169,"Fuji TV"
1,175,"Planet"
1,176,"Ginga Ya"
1,177,"Studio Kyuuma"
1,179,"A.C.G.T."
1,191,"Eiken"
1,196,"Production Reed"
1,198,"Gakken"
1,199,"Studio Nue"
1,200,"Tezuka Productions"
1,207,"Magic Bus"
1,218,"Zexcs"
1,226,"Panmedia"
1,228,"Daewon Media"
1,235,"Shirogumi"
1,242,"Ashi Production"
1,246,"Visual 80"
1,247,"Shin-Ei Animation"
1,249,"Robot Communications"
1,256,"Studio Kikan"
1,271,"Barnum Studio"
1,276,"DLE"
1,280,"Studio Junio"
1,281,"Kokusai Eigasha"
1,287,"David Production"
1,288,"Kaname Productions"
1,290,"Kinema Citrus"
1,291,"CoMix Wave Films"
1,292,"AIC PLUS+"
1,300,"SILVER LINK."
1,309,"GoHands"
1,311,"Enoki Films"
1,314,"White Fox"
1,315,"DAX Production"
1,318,"WAO World"
1,322,"Bee Media"
1,325,"Code"
1,326,"Animation 21"
1,329,"Phoenix Entertainment"
1,330,"Kanaban Graphics"
1,333,"TYO Animations"
1,334,"Ordet"
1,338,"Studio Bogey"
1,340,"Future Planet"
1,346,"Hoods Entertainment"
1,354,"Encourage Films"
1,358,"Telescreen"
1,363,"Topcraft"
1,367,"Heewon Entertainment"
1,374,"Plus Heads"
1,385,"Tele-Cartoon Japan"
1,386,"Animaruya"
1,390,"Tsuchida Productions"
1,397,"Bridge"
1,398,"Milky Cartoon"
1,400,"Gathering"
1,406,"Asahi Production"
1,409,"Studio Egg"
1,413,"Pastel"
1,418,"Studio Gokumi"
1,420,"ACC Production"
1,432,"Kachidoki Studio"
1,433,"View Works"
1,435,"Studio Zero"
1,436,"AIC Build"
1,437,"Kamikaze Douga"
1,439,"Project No.9"
1,441,"8bit"
1,442,"Minami Machi Bugyousho"
1,443,"Studio PuYUKAI"
1,444,"Jinnis Animation Studios"
1,451,"Cookie Jar Entertainment"
1,452,"Knack Productions"
1,455,"Palm Studio"
1,456,"Lerche"
1,462,"Chaos Project"
1,463,"M.S.C"
1,466,"Digital Media Lab"
1,471,"Shanghai Animation Film Studio"
1,473,"Ascension"
1,474,"Shogakukan Music & Digital Entertainment"
1,478,"Studio Blanc"
1,486,"Digital Frontier"
1,517,"Asmik Ace"
1,521,"Anpro"
1,523,"SBS TV Production"
1,537,"SANZIGEN"
1,541,"Seven"
1,553,"Marvy Jack"
1,563,"LandQ studios"
1,565,"LMD"
1,569,"MAPPA"
1,577,"Tohokushinsha Film Corporation"
1,581,"Sparky Animation"
1,583,"Annapuru"
1,587,"Tomason"
1,589,"Academy Productions"
1,601,"ixtl"
1,605,"C2C"
1,607,"RAMS"
1,629,"Studio Sign"
1,715,"Dwango"
1,721,"GANSIS"
1,723,"Hotline"
1,753,"PRA"
1,803,"Trigger"
1,805,"AIC Frontier"
1,833,"Kyotoma"
1,839,"LIDENFILMS"
1,848,"Kazami Gakuen Koushiki Douga-bu"
1,852,"Nexus"
1,856,"Charaction"
1,858,"Wit Studio"
